Dump name                                                              ,Dump CRC   ,Class CRC
glu_sonicthehedgehog2dash_sonye_w810_cz_ru_v1_0_0_full.jar             ,0xc403a134 ,0x23549ff2
Sonic_2_Dash_240x320_v1_0_0_S60v3.jar                                  ,0x39a82e09 ,0x2c03ed5e
Sonic_2_Dash_N95.jar                                                   ,0x17a400f2 ,0x5868c80
Sonic_Dashs_Nokia_240x320_tunewap.com.jar                              ,0x50200ab2 ,0x5c7f4aaa
Sonic_2_Dash_Nokia_240x320_tunewap.com.jar                             ,0xb76783f6 ,0x5c7f4aaa
sonic2dash_240x320_6233.jar                                            ,0xb6248f1a ,0x5c7f4aaa
SEGA.Sonic.The.Hedgehog.2.Dash.240x320.v1.0.0.S40v3.jar                ,0xd0cf2464 ,0x5c7f4aaa
Sonic_Dashs_SonyEricsson_240x320_tunewap.com.jar                       ,0xe20ff4c0 ,0x5d61a069
Sonic_2_Dash_SonyEricsson_240x320_tunewap.com.jar                      ,0xd629e794 ,0x5d61a069
Sonic2Dash_K800_Retail_Etty.jar                                        ,0x2249e0e0 ,0x5d61a069
glu_sonicthehedgehog2dash_sonye_k800_de_en_es_fr_it_pt_v1_0_0_full.jar ,0x25d2be86 ,0x5d61a069
glu_sonicthehedgehog2dash_sonye_w810_de_en_es_fr_it_pt_v1_0_0_full.jar ,0x4039ad4e ,0x6993516a
gluson_SE_176x220.jar                                                  ,0x1c392946 ,0x6993516a
Sonic_Dashs_Nokia_320x240_tunewap.com.jar                              ,0x2b13a805 ,0xa8482a86
Sonic_Dashs_Samsung_240x400_tunewap.com.jar                            ,0x2c859698 ,0xada8e097
the_hedgehog_2_dash_240x320_144387.jar                                 ,0xe2885780 ,0xb8929721
glu_sonicthehedgehog2dash_sonye_k800_cz_ru_v1_0_0_full.jar             ,0x4d26986d ,0xfe258ec6
